2016-01-23 23:55:29,606 : INFO : categ=yelp, ftype=GALC, index=14, rmse=0.1083436206, rho=0.0990589087, pval=0.0000000000, mse=0.0117383401, mae=0.0815885730, pre_logfit=-12.7735687357, base_logfit=-12.3759359144
2016-01-23 23:55:30,681 : INFO : categ=yelp, ftype=ConfAll, index=14, rmse=0.1058692558, rho=0.2286092864, pval=0.0000000000, mse=0.0112082993, mae=0.0798702508, pre_logfit=-12.7545499239, base_logfit=-12.3759359144
2016-01-23 23:56:31,391 : INFO : categ=yelp, ftype=LIWC, index=15, rmse=0.1063393498, rho=0.2452739239, pval=0.0000000000, mse=0.0113080573, mae=0.0798051317, pre_logfit=-12.7599816938, base_logfit=-12.3875443949
2016-01-23 23:58:46,186 : INFO : categ=yelp, ftype=INQUIRER, index=15, rmse=0.1065993263, rho=0.2409288476, pval=0.0000000000, mse=0.0113634164, mae=0.0798872172, pre_logfit=-12.7616425432, base_logfit=-12.3875443949
2016-01-23 23:59:36,307 : INFO : categ=yelp, ftype=GALC, index=15, rmse=0.1093208747, rho=0.1084995862, pval=0.0000000000, mse=0.0119510536, mae=0.0818101854, pre_logfit=-12.7819989725, base_logfit=-12.3875443949
2016-01-23 23:59:37,381 : INFO : categ=yelp, ftype=ConfAll, index=15, rmse=0.1068303348, rho=0.2309364596, pval=0.0000000000, mse=0.0114127204, mae=0.0800521976, pre_logfit=-12.7634802922, base_logfit=-12.3875443949
2016-01-24 00:00:36,907 : INFO : categ=yelp, ftype=LIWC, index=16, rmse=0.1087039013, rho=0.2273791919, pval=0.0000000000, mse=0.0118165382, mae=0.0817577943, pre_logfit=-12.5329805426, base_logfit=-12.1433398288
2016-01-24 00:02:38,217 : INFO : categ=yelp, ftype=INQUIRER, index=16, rmse=0.1086750441, rho=0.2465434105, pval=0.0000000000, mse=0.0118102652, mae=0.0815849504, pre_logfit=-12.5330469575, base_logfit=-12.1433398288
2016-01-24 00:03:26,134 : INFO : categ=yelp, ftype=GALC, index=16, rmse=0.1114397783, rho=0.1017249103, pval=0.0000000000, mse=0.0124188242, mae=0.0833672542, pre_logfit=-12.5534375851, base_logfit=-12.1433398288
2016-01-24 00:03:27,168 : INFO : categ=yelp, ftype=ConfAll, index=16, rmse=0.1090640793, rho=0.2253449913, pval=0.0000000000, mse=0.0118949734, mae=0.0818047405, pre_logfit=-12.5358718338, base_logfit=-12.1433398288
2016-01-24 00:04:24,626 : INFO : categ=yelp, ftype=LIWC, index=17, rmse=0.1048355917, rho=0.2604626816, pval=0.0000000000, mse=0.0109905013, mae=0.0786266656, pre_logfit=-12.8160880101, base_logfit=-12.4452128439
2016-01-24 00:06:27,721 : INFO : categ=yelp, ftype=INQUIRER, index=17, rmse=0.1051554505, rho=0.2559124965, pval=0.0000000000, mse=0.0110576688, mae=0.0788211684, pre_logfit=-12.8178702155, base_logfit=-12.4452128439
2016-01-24 00:07:16,522 : INFO : categ=yelp, ftype=GALC, index=17, rmse=0.1079643217, rho=0.1180753409, pval=0.0000000000, mse=0.0116562948, mae=0.0806394874, pre_logfit=-12.8414573118, base_logfit=-12.4452128439
2016-01-24 00:07:17,560 : INFO : categ=yelp, ftype=ConfAll, index=17, rmse=0.1054276015, rho=0.2450662360, pval=0.0000000000, mse=0.0111149792, mae=0.0790436917, pre_logfit=-12.8213799776, base_logfit=-12.4452128439
2016-01-24 00:08:12,798 : INFO : categ=yelp, ftype=LIWC, index=18, rmse=0.1059660818, rho=0.2527406297, pval=0.0000000000, mse=0.0112288105, mae=0.0792499704, pre_logfit=-12.6572623687, base_logfit=-12.2803378491
2016-01-24 00:10:15,271 : INFO : categ=yelp, ftype=INQUIRER, index=18, rmse=0.1060289906, rho=0.2502525824, pval=0.0000000000, mse=0.0112421468, mae=0.0793376157, pre_logfit=-12.6580335872, base_logfit=-12.2803378491
2016-01-24 00:11:04,879 : INFO : categ=yelp, ftype=GALC, index=18, rmse=0.1091965690, rho=0.0989208044, pval=0.0000000000, mse=0.0119238907, mae=0.0813421265, pre_logfit=-12.6822488651, base_logfit=-12.2803378491
2016-01-24 00:11:05,918 : INFO : categ=yelp, ftype=ConfAll, index=18, rmse=0.1065532001, rho=0.2322079346, pval=0.0000000000, mse=0.0113535845, mae=0.0795766925, pre_logfit=-12.6616805897, base_logfit=-12.2803378491
2016-01-24 00:12:02,823 : INFO : categ=yelp, ftype=LIWC, index=19, rmse=0.1041971666, rho=0.2421471358, pval=0.0000000000, mse=0.0108570495, mae=0.0789078763, pre_logfit=-12.7312811119, base_logfit=-12.3716523260
2016-01-24 00:14:14,488 : INFO : categ=yelp, ftype=INQUIRER, index=19, rmse=0.1039960534, rho=0.2626612792, pval=0.0000000000, mse=0.0108151791, mae=0.0786470142, pre_logfit=-12.7310724230, base_logfit=-12.3716523260
2016-01-24 00:15:03,222 : INFO : categ=yelp, ftype=GALC, index=19, rmse=0.1070662050, rho=0.1117078784, pval=0.0000000000, mse=0.0114631722, mae=0.0807781442, pre_logfit=-12.7548481777, base_logfit=-12.3716523260
2016-01-24 00:15:04,258 : INFO : categ=yelp, ftype=ConfAll, index=19, rmse=0.1045199770, rho=0.2394575631, pval=0.0000000000, mse=0.0109244256, mae=0.0790871254, pre_logfit=-12.7343691326, base_logfit=-12.3716523260
2016-01-24 00:15:58,425 : INFO : categ=yelp, ftype=LIWC, index=20, rmse=0.1061508960, rho=0.2365408226, pval=0.0000000000, mse=0.0112680127, mae=0.0800928377, pre_logfit=-12.5948749731, base_logfit=-12.2173904553
2016-01-24 00:18:00,701 : INFO : categ=yelp, ftype=INQUIRER, index=20, rmse=0.1062303688, rho=0.2445436926, pval=0.0000000000, mse=0.0112848913, mae=0.0800371439, pre_logfit=-12.5944186801, base_logfit=-12.2173904553
2016-01-24 00:18:49,463 : INFO : categ=yelp, ftype=GALC, index=20, rmse=0.1090908699, rho=0.0925903988, pval=0.0000000000, mse=0.0119008179, mae=0.0818633424, pre_logfit=-12.6160265546, base_logfit=-12.2173904553
2016-01-24 00:18:50,498 : INFO : categ=yelp, ftype=ConfAll, index=20, rmse=0.1066264516, rho=0.2263993293, pval=0.0000000000, mse=0.0113692002, mae=0.0803234943, pre_logfit=-12.5976915895, base_logfit=-12.2173904553
2016-01-24 00:19:45,437 : INFO : categ=yelp, ftype=LIWC, index=21, rmse=0.1079475474, rho=0.2284424604, pval=0.0000000000, mse=0.0116526730, mae=0.0809380813, pre_logfit=-12.7082519460, base_logfit=-12.3199449083
2016-01-24 00:21:47,042 : INFO : categ=yelp, ftype=INQUIRER, index=21, rmse=0.1077620092, rho=0.2433837349, pval=0.0000000000, mse=0.0116126506, mae=0.0807087822, pre_logfit=-12.7076636801, base_logfit=-12.3199449083
